WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,26,0,0,170,0,,,,0,1,2009,WD,Normal,274900
0,0,0,0,0,0,,,,0,6,2008,WD,Normal,155000
192,267,0,0,0,0,,,,0,1,2006,New,Partial,423000
0,0,0,0,0,0,,,,0,6,2006,WD,Normal,128500
0,102,0,0,0,0,,,,0,7,2009,WD,Normal,335000
0,114,192,0,0,0,,GdPrv,,0,7,2006,WD,Normal,262000
0,0,0,0,0,0,,,,0,2,2008,WD,Normal,129500
144,48,0,0,0,0,,,,0,5,2010,WD,Normal,222500
0,30,0,0,216,0,,,,0,4,2006,WD,Normal,270000
172,62,0,0,0,0,,,,0,4,2009,ConLw,Normal,207500
224,0,0,0,0,0,,,,0,6,2007,WD,Normal,175000
72,192,224,0,0,0,,GdPrv,,0,11,2007,WD,Normal,238000
0,184,0,0,0,0,,,,0,3,2008,WD,Normal,135900
192,35,0,0,0,0,,,,0,6,2010,New,Partial,224000
100,0,0,0,0,0,,,,0,12,2007,WD,Normal,170000
0,113,0,0,0,0,,,,0,10,2009,WD,Normal,185000
182,182,0,0,0,0,,,,0,11,2009,WD,Normal,263000
0,0,236,0,0,0,,GdWo,,0,12,2009,WD,Normal,62383
0,80,0,180,0,0,,MnWw,,0,7,2006,WD,Abnorml,150000
0,0,0,0,0,0,,,,0,1,2007,WD,Normal,171000
0,0,0,0,0,0,,,,0,8,2007,WD,Normal,139000
142,98,0,0,0,0,,,,0,7,2006,WD,Normal,126175
0,0,0,0,0,0,,,,0,5,2008,WD,Normal,205950
0,46,0,0,0,0,,GdPrv,Shed,800,8,2009,ConLI,Normal,110000
144,78,0,0,0,0,,,,0,7,2009,New,Partial,485000
98,0,0,0,0,0,,MnPrv,,0,5,2008,WD,Normal,174000
0,28,0,0,0,0,,,,0,5,2006,WD,Normal,145000
169,45,0,0,0,0,,,,0,6,2010,Con,Normal,215200
0,191,0,0,0,0,,,,0,3,2007,WD,Normal,320000
158,61,0,0,0,0,,,,0,4,2009,ConLw,Normal,212000
176,0,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,168500
635,104,0,0,0,0,,GdPrv,Shed,400,5,2010,WD,Normal,189000
280,34,0,0,0,0,,,,0,12,2008,WD,Normal,140000
315,44,0,0,0,0,,,,0,7,2006,WD,Normal,187500
0,136,0,0,0,0,,GdWo,,0,5,2010,WD,Normal,254900
0,0,0,0,0,0,,,,0,7,2008,WD,Normal,135000
180,0,0,0,80,0,,,,0,7,2008,WD,Normal,151000
0,0,0,0,0,0,,,,0,6,2008,WD,Normal,112500
0,100,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,184000
136,63,0,0,0,0,,,,0,8,2009,WD,Normal,197000
120,0,0,0,0,0,,,,0,11,2009,WD,Normal,161500
0,30,226,0,0,0,,,,0,6,2009,WD,Normal,85000
264,98,0,0,0,0,,,,0,1,2007,New,Partial,203000
144,39,0,0,0,0,,,,0,6,2008,WD,Normal,325000
253,142,0,0,0,0,,,,0,5,2009,WD,Normal,313000
0,211,0,0,0,0,,,,0,3,2008,WD,Normal,237000
0,0,126,0,0,0,,GdPrv,,0,7,2007,WD,Normal,180500
0,0,120,0,0,0,,,,0,7,2006,WD,Normal,137000
0,0,34,0,0,0,,MnPrv,,0,3,2007,WD,Normal,90350
40,0,0,0,0,0,,,,0,7,2006,WD,Normal,150900
158,29,0,0,0,0,,,,0,8,2006,WD,Normal,214000
0,0,0,0,95,0,,,,0,5,2010,WD,Normal,121500
171,78,0,0,0,555,Ex,MnPrv,,0,7,2007,WD,Abnorml,745000
0,0,0,0,276,0,,,,0,11,2007,WD,Normal,190000
156,0,0,0,0,0,,,,0,5,2009,WD,Normal,181000
0,0,0,0,0,0,,,,0,6,2009,COD,Abnorml,60000
288,136,0,0,0,0,,,,0,5,2009,WD,Normal,239000
0,32,0,0,0,0,,,,0,5,2007,WD,Normal,118500
0,0,0,0,0,0,,,,0,6,2006,WD,Normal,109500
0,0,0,0,0,0,,MnPrv,,0,4,2008,WD,Normal,110000
0,0,0,0,0,0,,,,0,6,2008,WD,Normal,105500
89,0,0,0,0,0,,,,0,7,2006,WD,Normal,199900
84,70,0,0,0,0,,,,0,6,2009,WD,Normal,271900
0,0,0,0,0,0,,,,0,4,2010,WD,Normal,131500
0,0,108,0,0,0,,,,0,8,2008,WD,Normal,135000
0,130,112,0,0,0,,MnPrv,,0,4,2008,WD,Normal,119000
364,63,0,0,0,0,,MnPrv,,0,11,2008,WD,Normal,215000
0,0,0,0,0,0,,,,0,8,2009,WD,Normal,133500
272,0,42,0,116,0,,,,0,3,2010,WD,Normal,169000
120,0,0,0,0,0,,MnPrv,,0,5,2010,WD,Abnorml,137500
0,30,0,0,0,0,,,,0,12,2007,New,Partial,147000
208,59,0,0,0,0,,,,0,4,2006,WD,Normal,232000
0,0,0,0,0,0,,,,0,6,2007,WD,Normal,156000
240,38,0,0,0,0,,,,0,4,2006,WD,Normal,170000
158,0,0,0,0,0,,,,0,3,2009,WD,Normal,82500
256,0,0,0,0,0,,MnPrv,,0,4,2009,WD,Normal,155000
125,144,0,0,0,0,,,,0,4,2007,New,Partial,424870
237,152,0,0,0,0,,,,0,3,2010,WD,Normal,236500
0,21,0,0,180,0,,,,0,7,2007,WD,Normal,218000
74,234,0,0,0,0,,,,0,10,2009,WD,Normal,213000
270,78,0,0,0,0,,,,0,5,2006,WD,Normal,312500
113,100,0,0,0,0,,,,0,8,2007,WD,Normal,187000
0,103,0,0,0,0,,,,0,6,2009,WD,Normal,181000
0,45,0,0,0,0,,,,0,1,2010,WD,Normal,233000
48,0,0,0,0,0,,,,0,3,2008,ConLw,Normal,95000
0,0,0,0,0,0,,,,0,7,2008,WD,Normal,52000
192,0,0,0,0,0,,,,0,1,2009,WD,Normal,181000
0,60,0,0,0,0,,,,0,7,2009,New,Partial,501837
0,0,0,0,0,0,,,,0,6,2006,WD,Normal,88000
0,0,0,0,0,0,,MnPrv,,0,3,2009,WD,Normal,112000
0,0,0,0,0,0,,,,0,10,2008,WD,Normal,140000
110,0,0,0,0,0,,,,0,10,2009,WD,Normal,167000
0,45,0,0,0,0,,,,0,4,2006,WD,Normal,145250
349,0,0,0,0,0,,MnPrv,,0,2,2010,WD,Normal,210000
70,78,68,0,0,0,,,,0,6,2008,WD,Normal,157500
144,20,0,0,0,0,,,,0,7,2006,New,Partial,212900
0,0,0,0,0,0,,GdWo,,0,7,2009,WD,Normal,117500
132,105,0,0,0,0,,,,0,5,2010,WD,Normal,185500
0,0,156,0,0,0,,MnPrv,,0,10,2009,ConLD,Abnorml,85000
272,54,0,0,0,0,,,,0,6,2006,WD,Family,145000
169,39,0,0,0,0,,,,0,7,2009,WD,Normal,255500
0,0,293,0,0,0,,MnPrv,,0,6,2006,WD,Abnorml,124000
210,0,0,0,0,0,,,,0,7,2009,WD,Normal,134900
188,124,0,0,0,0,,,,0,11,2006,WD,Normal,230500
0,0,0,0,0,0,,,,0,6,2007,WD,Normal,110000
0,51,0,0,0,0,,,,0,7,2006,New,Partial,233230
36,0,221,0,0,0,,,,0,10,2006,WD,Normal,157000
0,0,0,0,0,0,,,,0,11,2008,WD,Normal,142600
0,27,0,0,0,0,,,,0,10,2008,WD,Normal,154000
100,24,0,0,0,0,,,,0,9,2006,New,Partial,179665
0,141,0,0,0,0,,,,0,4,2008,WD,Normal,91000
0,113,252,0,0,0,,,,0,11,2007,WD,Normal,197900
0,69,0,0,0,0,,,,0,9,2008,WD,Normal,205000
192,63,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,161000
210,0,0,0,0,0,,,,0,11,2008,WD,Normal,149900
192,30,0,0,0,0,,,,0,7,2008,WD,Normal,207000
160,0,0,0,0,0,,,,0,5,2010,WD,Normal,143000
177,74,0,0,0,0,,,,0,10,2006,New,Partial,281000
322,82,0,0,0,0,,,,0,7,2009,New,Partial,372500
0,184,0,0,0,0,,,,0,6,2008,WD,Normal,235000
0,60,268,0,0,0,,,,0,7,2009,WD,Normal,214500
340,60,144,0,0,0,,,,0,4,2009,WD,Normal,260000
0,158,158,0,0,0,,MnPrv,,0,4,2010,WD,Normal,149700
164,0,0,0,0,0,,MnPrv,,0,6,2006,WD,Normal,131000
140,0,0,0,176,0,,,,0,9,2008,WD,Normal,144000
210,62,0,0,0,0,,,,0,5,2010,WD,Normal,215000
0,0,252,0,0,0,,GdWo,,0,5,2009,WD,Normal,176000
0,0,0,0,0,0,,,,0,10,2007,WD,Normal,144000
0,0,0,0,0,0,,MnPrv,,0,6,2010,WD,Normal,155000
222,98,0,0,0,0,,,,0,11,2007,WD,Normal,290000
224,106,0,0,0,0,,GdPrv,,0,12,2008,WD,Normal,230000
322,50,0,0,0,0,,,,0,5,2006,New,Partial,290000
97,65,0,0,0,0,,,,0,1,2008,CWD,Abnorml,328900
168,0,0,0,0,0,,GdPrv,,0,5,2008,WD,Normal,142000
276,99,0,0,0,0,,MnPrv,,0,8,2009,WD,Normal,231500
294,116,0,0,0,0,,,,0,12,2009,WD,Normal,162000
0,0,220,0,0,0,,MnPrv,,0,6,2010,WD,Normal,133000
248,105,0,0,0,0,,,,0,6,2009,WD,Normal,386250
166,120,0,0,0,0,,MnPrv,,0,7,2006,WD,Normal,110500
0,102,0,0,0,0,,,,0,4,2008,New,Partial,339750
0,0,244,0,0,0,,,,0,12,2007,WD,Normal,87000
0,36,0,0,0,0,,GdPrv,,0,8,2009,WD,Family,158500
0,120,0,0,0,0,,MnPrv,,0,1,2010,WD,Family,170000
0,0,0,0,0,0,,,Othr,3500,7,2010,WD,Normal,55000
203,40,0,0,0,0,,,,0,7,2006,WD,Normal,138887
0,98,0,0,0,0,,GdPrv,,0,9,2006,WD,Normal,170000
144,60,0,0,0,0,,,,0,8,2006,New,Partial,240000
0,166,0,0,0,0,,,,0,7,2006,WD,Normal,147400
0,54,0,0,161,0,,GdWo,,0,3,2010,WD,Normal,289000
0,211,0,0,0,0,,,,0,11,2008,WD,Normal,135000
0,35,272,0,0,0,,,,0,2,2006,WD,Abnorml,140000
668,30,0,0,0,0,,,,0,5,2010,WD,Normal,333168
168,0,0,0,0,0,,,,0,6,2007,WD,Normal,146500
184,154,0,0,0,0,,,,0,6,2007,WD,Normal,354000
40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal,143000
120,33,0,0,0,0,,,,0,12,2007,WD,Normal,265900
0,64,0,0,0,0,,MnPrv,,0,10,2006,WD,Normal,146000
0,0,0,0,0,0,,MnPrv,,0,8,2009,WD,Normal,165000
0,0,0,0,0,0,,,,0,6,2008,WD,AdjLand,82000
78,73,0,0,0,0,,,,0,6,2009,WD,Normal,213250
0,0,77,0,0,0,,,,0,4,2006,WD,Normal,79000
0,111,0,0,0,0,,,,0,7,2007,WD,Normal,143000
0,44,0,0,0,0,,,,0,3,2010,WD,Normal,130500
0,116,0,0,0,0,,,,0,6,2006,WD,Normal,239900
0,0,0,0,224,0,,,,0,11,2009,WD,Normal,177500
192,121,0,0,0,0,,,,0,5,2008,WD,Normal,262280
144,45,0,0,0,0,,,,0,12,2007,WD,Normal,227000
0,0,192,0,0,0,,,,0,7,2006,WD,Normal,159500
168,27,0,0,0,0,,,,0,7,2006,WD,Normal,217000
283,86,0,0,0,0,,,,0,3,2010,WD,Normal,410000
0,0,0,0,0,0,,,,0,7,2006,WD,Normal,148000
0,0,234,0,0,0,,,,0,8,2006,WD,Normal,178000
0,0,0,0,0,0,,,,0,6,2008,WD,Normal,162900
233,48,0,0,0,0,,,,0,6,2009,WD,Normal,187500
245,0,156,0,0,0,,,Shed,1300,7,2008,WD,Normal,160000
144,105,0,0,0,0,,,,0,4,2009,WD,Normal,212000
0,44,0,0,0,0,,,,0,5,2008,WD,Normal,139000
0,96,0,0,0,0,,MnPrv,,0,5,2009,WD,Normal,108000
186,0,0,0,0,0,,,,0,1,2009,WD,Normal,84000
305,189,0,0,0,0,,MnPrv,Shed,400,9,2008,WD,Normal,172000
0,0,236,0,0,0,,,,0,3,2006,WD,Normal,104900
0,158,0,0,0,0,,,,0,10,2006,WD,Normal,114504
0,0,0,0,0,0,,,,0,9,2008,WD,Normal,106000
0,244,0,0,0,0,,,,0,5,2007,WD,Normal,179900
0,0,0,0,0,0,,,,0,4,2006,COD,Normal,102000
192,36,0,0,0,0,,,,0,8,2009,WD,Normal,190000
0,126,0,0,0,0,,,,0,5,2009,WD,Normal,340000
301,0,0,0,0,0,,,,0,7,2010,WD,Normal,180000
105,61,0,0,0,0,,,,0,2,2010,WD,Normal,206000
0,0,0,0,0,0,,,,0,11,2008,WD,Normal,131500
321,0,0,0,0,0,,,,0,8,2007,Oth,Abnorml,150000
100,22,0,0,0,0,,,,0,3,2010,WD,Normal,186000
0,0,176,0,0,0,,,,0,8,2008,WD,Normal,116900
0,204,0,0,0,0,,,,0,7,2008,WD,Normal,299800
120,155,0,0,0,0,,,,0,7,2008,WD,Normal,188000
0,26,0,0,0,0,,,,0,6,2010,WD,Normal,143000
356,0,0,0,0,0,,GdWo,,0,11,2006,WD,Normal,138500
127,82,0,0,0,0,,,,0,4,2006,WD,Normal,260000
0,36,0,0,0,0,,,,0,10,2007,WD,Normal,119000
509,135,0,0,0,0,,GdPrv,,0,10,2009,WD,Normal,167500
0,0,0,0,0,0,,,,0,8,2006,WD,Normal,85500
156,73,0,0,0,0,,,,0,8,2007,WD,Normal,209500
280,0,0,0,0,0,,,,0,6,2008,WD,Normal,206900
0,0,112,0,0,0,,,,0,8,2007,WD,Normal,112000
100,75,0,0,0,0,,,,0,4,2008,WD,Normal,193000
0,0,0,0,0,0,,,,0,3,2010,WD,Normal,197500
289,0,0,0,0,0,,MnPrv,,0,4,2009,WD,Normal,139000
0,0,0,0,0,0,,MnPrv,,0,6,2007,WD,Normal,119750
0,0,177,0,0,0,,,,0,7,2009,ConLD,Normal,198500
192,0,0,0,0,0,,,,0,7,2009,WD,Normal,135000
0,42,0,0,0,0,,,,0,9,2008,WD,Normal,223500
255,57,0,0,0,0,,,,0,8,2007,WD,Normal,307000
0,0,0,0,0,0,,,,0,5,2009,WD,Normal,132000
304,0,0,0,0,0,,,,0,11,2006,WD,Normal,168000
0,45,0,0,189,0,,,,0,9,2008,WD,Normal,287000
0,88,216,0,0,0,,,,0,11,2007,WD,Normal,197000
0,0,0,0,0,0,,MnPrv,,0,5,2006,WD,Normal,134450
140,0,252,0,0,0,,GdWo,,0,7,2006,WD,Normal,133700
0,50,0,0,0,0,,,,0,5,2010,WD,Normal,306000
0,0,0,0,189,0,,MnPrv,,0,5,2008,COD,Abnorml,180000
0,140,0,0,0,0,,,,0,6,2006,New,Partial,232600
143,20,0,0,0,0,,,,0,5,2009,WD,Normal,175900
356,0,0,0,0,0,,,,0,6,2009,WD,Normal,178000
0,72,0,0,0,0,,,,0,3,2009,WD,Normal,227000
148,0,0,0,147,0,,,,0,11,2006,WD,Normal,165150
0,312,0,0,0,0,,,,0,5,2009,WD,Normal,223500
216,56,0,0,0,0,,,,0,5,2008,WD,Normal,207500
0,56,0,0,0,0,,,,0,7,2009,WD,Normal,256300
178,51,0,0,0,0,,,,0,7,2007,WD,Normal,377426
208,114,0,0,0,0,,,,0,7,2009,New,Partial,224500
0,146,0,0,0,0,,,,0,7,2007,WD,Normal,249700
0,0,0,0,0,0,,,Shed,450,8,2007,WD,Normal,100000
0,0,0,0,0,0,,,,0,4,2006,New,Partial,437154
0,0,0,407,0,0,,,,0,7,2008,WD,Normal,180500
0,98,0,0,40,0,,,,0,5,2009,WD,Normal,121000
224,0,0,0,0,0,,,,0,7,2006,WD,Normal,156000
0,130,0,130,0,0,,,,0,10,2006,WD,Normal,180000
0,42,0,0,0,0,,MnPrv,,0,11,2006,WD,Normal,107000
201,39,0,0,0,0,,,,0,10,2009,WD,Normal,377500
0,94,0,0,291,0,,,,0,12,2009,WD,Normal,185000
302,0,0,0,100,0,,,,0,10,2009,WD,Normal,175000
144,68,0,0,0,0,,,,0,7,2009,WD,Normal,195000
196,82,0,0,0,0,,,,0,2,2010,WD,Normal,319900
155,24,145,0,0,0,,,Gar2,8300,8,2007,WD,Normal,190000
208,406,0,0,0,0,,,,0,10,2007,New,Partial,184750
0,0,116,0,0,0,,,,0,5,2008,WD,Normal,109500
168,0,0,0,0,0,,,Shed,400,5,2007,WD,Normal,129000
0,82,0,0,0,0,,,,0,10,2006,WD,Normal,148000
335,0,0,0,0,0,,GdPrv,,0,4,2010,WD,Abnorml,158900
0,0,0,0,0,0,,,,0,1,2007,WD,Normal,39300
0,172,0,0,0,0,,,,0,6,2010,WD,Normal,151000
144,20,0,0,0,0,,,,0,5,2006,WD,Normal,178740
0,152,0,0,0,0,,,,0,4,2009,WD,Normal,124000
0,0,0,0,0,0,,,,0,6,2006,WD,Normal,230000
55,0,0,216,0,0,,,,0,10,2008,COD,Abnorml,145000
0,0,0,0,0,0,,MnPrv,,0,8,2007,WD,Normal,125500
0,50,0,0,0,0,,,,0,5,2006,New,Partial,158000
0,0,44,0,0,0,,,,0,8,2009,WD,Normal,163500
0,265,0,0,0,0,,,,0,8,2007,WD,Abnorml,129000
132,0,0,0,0,0,,,,0,2,2009,WD,Normal,194500
0,0,0,0,0,0,,,,0,5,2008,WD,Normal,127000
0,84,0,196,0,0,,,,0,1,2007,WD,Normal,228500
208,75,0,0,374,0,,,,0,6,2006,WD,Normal,280000
0,0,0,0,145,0,,MnPrv,,0,6,2009,WD,Normal,234000
0,40,0,0,0,0,,,,0,8,2007,WD,Normal,175000
0,69,0,0,0,0,,,,0,7,2008,WD,Normal,193000
116,0,0,180,0,0,,MnPrv,,0,6,2007,WD,Normal,120000
168,95,0,0,0,0,,,,0,4,2010,New,Partial,395192
182,0,0,0,0,0,,,,0,10,2006,WD,Normal,136900
240,0,0,0,0,0,,MnPrv,,0,12,2007,WD,Normal,144000
0,27,0,0,0,0,,,,0,6,2010,WD,Normal,175500
0,35,0,0,0,0,,MnWw,,0,4,2009,WD,Normal,110000
0,0,0,0,0,0,,,,0,5,2008,WD,Normal,255900
106,0,0,0,0,0,,,,0,5,2010,WD,Normal,110000
0,0,0,0,0,0,,,,0,2,2006,WD,Normal,229000
48,0,244,0,0,0,,MnWw,,0,9,2009,WD,Normal,124900
0,0,0,0,126,0,,MnPrv,,0,8,2007,WD,Normal,164000
165,44,0,0,0,0,,,,0,9,2009,COD,Abnorml,257000
100,36,0,0,0,0,,,,0,12,2007,New,Partial,239000
280,238,0,0,0,0,,,,0,6,2008,WD,Normal,200000
0,0,0,0,0,0,,,,0,7,2006,WD,Family,171000
104,100,0,0,0,0,,,,0,5,2007,WD,Normal,285000
0,72,0,0,252,0,,,,0,6,2009,WD,Normal,193500
0,166,0,0,0,0,,,,0,4,2006,WD,Abnorml,144152
140,45,0,0,0,0,,,,0,8,2008,WD,Normal,250000
0,56,0,0,0,0,,,,0,6,2007,WD,Normal,248000
380,48,0,0,0,0,,,,0,6,2007,WD,Normal,302000
519,112,0,0,0,0,,,,0,3,2006,WD,Normal,326000
140,0,0,0,0,0,,,,0,9,2008,WD,Normal,127500
144,68,0,0,0,0,,,,0,9,2007,WD,Normal,180000
0,144,0,0,0,0,,MnPrv,,0,3,2008,WD,Normal,89500
0,0,0,0,0,0,,,,0,6,2010,WD,Normal,190000
168,120,0,0,0,0,,,,0,10,2008,WD,Normal,189000
100,38,0,0,0,0,,,,0,7,2008,WD,Normal,192000
