BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,SalePrice,HouseAge,YearsSinceRemodel,IsRemodeled,AgeCategory
2fmCon,2Story,4,6,1885,1950,Gable,CompShg,VinylSd,AsbShng,,0.0,122500,140,75,1,Very Old
1Fam,1Story,5,7,1921,1950,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,89000,104,75,1,Very Old
1Fam,1.5Fin,5,7,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,252.0,175000,88,75,1,Old
1Fam,2Story,7,6,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,223.0,237000,22,22,0,Moderate
1Fam,1Story,6,7,1960,1975,Flat,CompShg,BrkFace,Plywood,,0.0,235000,65,50,1,Old
1Fam,1Story,8,5,2001,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,178.0,275000,24,23,1,Moderate
1Fam,2Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,172785,19,19,0,New
TwnhsE,2Story,6,4,1973,1973,Gable,CompShg,CemntBd,CmentBd,,0.0,151400,52,52,0,Old
1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,129000,69,69,0,Old
1Fam,2Story,5,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,BrkFace,288.0,169500,63,63,0,Old
1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,,0.0,149900,54,17,1,Old
TwnhsE,1Story,6,5,1976,1976,Gable,CompShg,Plywood,Plywood,,0.0,128000,49,49,0,Moderate
1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,,0.0,236500,24,24,0,Moderate
1Fam,2Story,7,5,1996,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,269790,29,28,1,Moderate
Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,174000,26,25,1,Moderate
1Fam,1Story,5,9,1947,2008,Hip,CompShg,VinylSd,VinylSd,,0.0,118000,78,17,1,Old
1Fam,1Story,5,8,1965,1998,Hip,CompShg,MetalSd,MetalSd,BrkFace,166.0,146000,60,27,1,Old
TwnhsE,1Story,7,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,130.0,175900,18,18,0,New
2fmCon,2Story,5,5,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,90000,125,75,1,Very Old
1Fam,2Story,7,7,1920,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,157000,105,75,1,Very Old
1Fam,1Story,5,6,1969,1969,Gable,CompShg,HdBoard,Plywood,,0.0,128500,56,56,0,Old
1Fam,SFoyer,5,7,1972,2007,Gable,CompShg,HdBoard,Wd Shng,,0.0,133000,53,18,1,Old
1Fam,1Story,5,6,1959,2002,Gable,CompShg,MetalSd,MetalSd,,0.0,150750,66,23,1,Old
1Fam,1.5Fin,6,7,1920,1950,Gable,CompShg,BrkFace,Wd Sdng,,0.0,256000,105,75,1,Very Old
1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,,0.0,216000,25,25,0,Moderate
1Fam,1Story,8,6,1995,1995,Hip,CompShg,MetalSd,MetalSd,BrkFace,660.0,350000,30,30,0,Moderate
1Fam,1Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,,0.0,217000,28,28,0,Moderate
1Fam,1Story,5,7,1962,1980,Gable,CompShg,MetalSd,MetalSd,,0.0,140000,63,45,1,Old
1Fam,1Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,206.0,157000,47,47,0,Moderate
1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,,0.0,107400,110,75,1,Very Old
TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,147.0,149300,21,21,0,Moderate
Duplex,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,BrkFace,95.0,110000,67,67,0,Old
1Fam,2Story,6,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,183200,23,22,1,Moderate
1Fam,1Story,9,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Stone,215.0,285000,23,23,0,Moderate
1Fam,1Story,5,5,1969,1969,Gable,CompShg,VinylSd,Plywood,,0.0,138800,56,56,0,Old
1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,,0.0,188700,91,30,1,Old
1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,,0.0,149000,94,25,1,Old
1Fam,1Story,4,7,1950,1995,Gable,CompShg,VinylSd,HdBoard,,0.0,128000,75,30,1,Old
Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,158.0,100000,52,52,0,Old
1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,180000,22,22,0,Moderate
1Fam,1Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,442.0,224900,27,27,0,Moderate
1Fam,1Story,3,3,1952,1952,Flat,Tar&Grv,BrkComm,Brk Cmn,,0.0,82000,73,73,0,Old
1Fam,1Story,8,5,2002,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,236.0,270000,23,22,1,Moderate
1Fam,2Story,5,7,1942,1995,Gable,CompShg,MetalSd,MetalSd,Stone,224.0,146500,83,30,1,Old
1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,307000,21,20,1,Moderate
TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,143000,21,21,0,Moderate
1Fam,1Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,328.0,318000,18,18,0,New
1Fam,1Story,5,7,1910,1950,Gable,CompShg,MetalSd,Wd Sdng,,0.0,85000,115,75,1,Very Old
1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,174000,20,20,0,New
1Fam,1Story,5,4,1955,1974,Hip,CompShg,Wd Sdng,Plywood,,0.0,170000,70,51,1,Old
1Fam,1Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,215.0,208900,28,27,1,Moderate
1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,239799,19,19,0,New
1Fam,2Story,5,8,1904,2002,Gable,CompShg,MetalSd,MetalSd,,0.0,157500,121,23,1,Very Old
1Fam,2Story,7,6,1966,1966,Gable,CompShg,MetalSd,MetalSd,BrkFace,309.0,226000,59,59,0,Old
Duplex,1Story,3,4,1949,1950,Gable,CompShg,Stucco,Stucco,BrkFace,340.0,87500,76,75,1,Old
TwnhsE,1Story,7,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,130.0,174000,18,18,0,New
1Fam,1Story,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,,0.0,132000,77,23,1,Old
1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,223500,24,23,1,Moderate
1Fam,2Story,6,5,1963,1963,Hip,CompShg,HdBoard,HdBoard,BrkFace,415.0,140000,62,62,0,Old
1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,,0.0,239000,107,75,1,Very Old
1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,73000,100,21,1,Old
1Fam,1Story,8,6,2007,2007,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,392000,18,18,0,New
1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,76000,97,75,1,Old
1Fam,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,240.0,221500,20,19,1,New
1Fam,1Story,4,5,1961,1961,Gable,CompShg,VinylSd,VinylSd,,0.0,129000,64,64,0,Old
1Fam,2Story,6,6,1972,1972,Gable,CompShg,HdBoard,Plywood,,0.0,162000,53,53,0,Old
1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,,0.0,148000,29,29,0,Moderate
TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,,0.0,164700,19,18,1,New
2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,,0.0,93000,72,72,0,Old
1Fam,1Story,7,5,2007,2008,Gable,CompShg,CemntBd,CmentBd,,,182000,18,17,1,New
1Fam,2Story,8,5,1991,1992,Hip,CompShg,HdBoard,HdBoard,BrkFace,284.0,260000,34,33,1,Moderate
1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,177500,30,30,0,Moderate
1Fam,1Story,5,6,1923,2006,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,100000,102,19,1,Very Old
1Fam,2Story,7,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,,0.0,191000,29,29,0,Moderate
1Fam,1Story,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,175.0,145250,65,65,0,Old
1Fam,1Story,4,7,1940,1950,Hip,CompShg,VinylSd,VinylSd,,0.0,82500,85,75,1,Old
1Fam,1Story,4,5,1963,1963,Gable,CompShg,HdBoard,Plywood,,0.0,132250,62,62,0,Old
1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,106.0,179600,21,21,0,Moderate
Twnhs,2Story,6,5,2004,2006,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,130000,21,19,1,Moderate
1Fam,1Story,5,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,,0.0,124000,62,62,0,Old
1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,110000,95,20,1,Old
1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,61000,103,75,1,Very Old
1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,208500,22,22,0,Moderate
1Fam,2Story,7,6,1989,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,228500,36,36,0,Moderate
1Fam,1.5Unf,5,6,1922,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,113000,103,75,1,Very Old
2fmCon,1.5Fin,4,4,1941,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,80000,84,75,1,Old
1Fam,1.5Fin,6,7,1916,1950,Gable,CompShg,Stucco,Stucco,,0.0,136000,109,75,1,Very Old
1Fam,1Story,6,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,312.0,223000,56,56,0,Old
1Fam,1Story,5,7,1957,1957,Gable,CompShg,WdShing,Wd Shng,,0.0,129900,68,68,0,Old
TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,,0.0,278000,25,25,0,Moderate
1Fam,2Story,6,4,1915,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,128000,110,75,1,Very Old
1Fam,1Story,6,5,1963,1963,Hip,CompShg,HdBoard,HdBoard,BrkFace,451.0,143000,62,62,0,Old
1Fam,2Story,9,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,424.0,582933,17,16,1,New
1Fam,2Story,5,7,1910,2002,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,132000,115,23,1,Very Old
TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,140000,22,22,0,Moderate
1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,BrkFace,60.0,100000,58,58,0,Old
1Fam,2Story,8,5,1998,1999,Hip,CompShg,VinylSd,VinylSd,BrkFace,975.0,336000,27,26,1,Moderate
1Fam,1Story,4,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,123600,31,30,1,Moderate
TwnhsE,1Story,8,5,2004,2005,Hip,CompShg,CemntBd,CmentBd,Stone,174.0,275000,21,20,1,Moderate
1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,132000,71,71,0,Old
1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,152000,75,75,0,Old
TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,117.0,130000,21,21,0,Moderate
TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,319900,20,20,0,New
1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,249700,19,19,0,New
1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,134800,74,25,1,Old
1Fam,1Story,7,5,1998,1999,Hip,CompShg,VinylSd,VinylSd,,0.0,213250,27,26,1,Moderate
TwnhsE,1Story,8,5,1986,1986,Gable,CompShg,HdBoard,HdBoard,,0.0,170000,39,39,0,Moderate
1Fam,1Story,9,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,160.0,377500,19,18,1,New
1Fam,2Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,78000,105,75,1,Very Old
1Fam,1Story,4,6,1982,2006,Gable,CompShg,HdBoard,Plywood,,0.0,129500,43,19,1,Moderate
1Fam,2.5Unf,7,7,1914,1970,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,163000,111,55,1,Very Old
1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,,0.0,199900,27,26,1,Moderate
1Fam,1Story,8,6,1981,1981,Hip,WdShake,Plywood,Plywood,BrkFace,653.0,228000,44,44,0,Moderate
TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,,0.0,212000,40,40,0,Moderate
1Fam,2Story,5,6,1911,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,130000,114,75,1,Very Old
1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,394432,15,15,0,New
1Fam,SLvl,6,5,1988,1989,Gable,CompShg,HdBoard,HdBoard,BrkFace,219.0,175000,37,36,1,Moderate
1Fam,1Story,5,8,1978,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,90.0,136500,47,20,1,Moderate
1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,,0.0,138500,60,16,1,Old
1Fam,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,VinylSd,,0.0,156000,47,47,0,Moderate
1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,127500,69,69,0,Old
1Fam,1Story,2,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,60000,105,75,1,Very Old
1Fam,1.5Unf,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,87000,84,75,1,Old
1Fam,2Story,6,6,1962,1962,Gable,CompShg,HdBoard,HdBoard,BrkFace,318.0,171000,63,63,0,Old
1Fam,1Story,5,7,1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,88000,100,75,1,Old
1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,306000,18,17,1,New
1Fam,1Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,584.0,315000,19,19,0,New
1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,231500,24,24,0,Moderate
1Fam,2Story,6,5,1966,1966,Gable,CompShg,MetalSd,MetalSd,BrkFace,351.0,155000,59,59,0,Old
1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,263000,22,21,1,Moderate
1Fam,2Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,227875,18,18,0,New
1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,,0.0,82000,75,75,0,Old
1Fam,1Story,9,5,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,162.0,370878,16,16,0,New
1Fam,1Story,5,7,1962,2001,Gable,CompShg,HdBoard,Plywood,,0.0,132500,63,24,1,Old
1Fam,1.5Fin,5,8,1915,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,153900,110,75,1,Very Old
1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,194000,19,19,0,New
Duplex,1.5Fin,5,7,1900,2003,Gable,CompShg,MetalSd,MetalSd,,0.0,145900,125,22,1,Very Old
1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,149350,59,19,1,Old
1Fam,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,120.0,200000,22,22,0,Moderate
1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,204.0,313000,25,25,0,Moderate
Duplex,1Story,5,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,320.0,144000,48,48,0,Moderate
1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,731.0,340000,27,27,0,Moderate
1Fam,2Story,5,6,1923,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,223500,102,21,1,Very Old
1Fam,1Story,5,6,1956,1987,Gable,CompShg,CemntBd,Wd Sdng,,0.0,168000,69,38,1,Old
1Fam,1.5Fin,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,108000,105,75,1,Very Old
1Fam,1Story,8,5,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,72.0,229456,16,16,0,New
TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,,0.0,125000,41,41,0,Moderate
1Fam,1Story,4,6,1941,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,113000,84,75,1,Old
1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,318.0,186500,25,25,0,Moderate
1Fam,SLvl,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,182.0,190000,20,20,0,New
1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,HdBoard,BrkFace,324.0,167500,65,65,0,Old
1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,148000,49,49,0,Moderate
1Fam,2Story,4,4,1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,107000,100,75,1,Old
1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,180000,22,22,0,Moderate
1Fam,1.5Fin,5,8,1875,1996,Gable,CompShg,VinylSd,VinylSd,,0.0,94000,150,29,1,Very Old
Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,177000,25,25,0,Moderate
1Fam,1.5Fin,4,5,1947,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,80500,78,75,1,Old
1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,,0.0,125000,58,58,0,Old
1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,140000,22,21,1,Moderate
2fmCon,2Story,4,7,1900,2000,Gable,CompShg,MetalSd,MetalSd,,0.0,106250,125,25,1,Very Old
1Fam,2Story,6,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,,0.0,174000,31,30,1,Moderate
1Fam,1Story,6,8,1961,1996,Hip,CompShg,HdBoard,HdBoard,,0.0,142000,64,29,1,Old
1Fam,2Story,9,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,Stone,216.0,350000,21,20,1,Moderate
Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,112000,54,54,0,Old
1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,,0.0,186000,16,16,0,New
1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,139400,95,75,1,Old
1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,250.0,255500,19,19,0,New
1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,395192,16,15,1,New
1Fam,SLvl,5,8,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,220.0,149900,48,48,0,Moderate
1Fam,1Story,5,6,1961,1961,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,136500,64,64,0,Old
1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,290000,26,18,1,Moderate
1Fam,1Story,4,5,1951,1951,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,102000,74,74,0,Old
1Fam,SFoyer,5,7,1961,1995,Gable,CompShg,HdBoard,HdBoard,,0.0,148000,64,30,1,Old
Twnhs,2Story,7,5,1999,1999,Hip,CompShg,MetalSd,MetalSd,,0.0,155000,26,26,0,Moderate
1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,,0.0,123000,53,53,0,Old
1Fam,1Story,5,3,1961,1961,Hip,CompShg,HdBoard,HdBoard,BrkCmn,203.0,98600,64,64,0,Old
1Fam,SLvl,6,7,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,80.0,155000,54,54,0,Old
1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,,0.0,129000,57,57,0,Old
1Fam,1Story,3,6,1931,2006,Gable,CompShg,MetalSd,MetalSd,,0.0,79000,94,19,1,Old
1Fam,2Story,7,6,1994,1994,Gable,CompShg,HdBoard,HdBoard,,0.0,248000,31,31,0,Moderate
1Fam,1Story,5,7,1957,2000,Hip,CompShg,MetalSd,MetalSd,,0.0,153000,68,25,1,Old
1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,175500,52,52,0,Old
1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,,0.0,150000,49,32,1,Moderate
1Fam,1Story,7,5,1965,1965,Hip,CompShg,BrkFace,BrkFace,,0.0,375000,60,60,0,Old
1Fam,SLvl,7,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,170.0,163900,33,33,0,Moderate
1Fam,1Story,6,6,1925,1980,Gable,CompShg,MetalSd,MetalSd,,0.0,110500,100,45,1,Old
1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,233000,21,21,0,Moderate
1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,,0.0,122900,76,19,1,Old
1Fam,2Story,8,5,1994,1994,Hip,CompShg,VinylSd,VinylSd,BrkFace,391.0,290000,31,31,0,Moderate
1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,345000,20,19,1,New
1Fam,2Story,10,5,2007,2008,Hip,CompShg,CemntBd,CmentBd,Stone,762.0,184750,18,17,1,New
1Fam,1Story,6,6,1958,1958,Gable,CompShg,MetalSd,MetalSd,BrkFace,243.0,157900,67,67,0,Old
1Fam,2Story,6,8,1932,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,239000,93,75,1,Old
1Fam,1Story,5,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,84500,19,19,0,New
1Fam,1Story,6,5,1967,1967,Gable,CompShg,BrkFace,Wd Sdng,,0.0,161500,58,58,0,Old
1Fam,1Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,244.0,235000,25,25,0,Moderate
1Fam,1Story,5,4,1959,1959,Gable,CompShg,HdBoard,Plywood,BrkFace,132.0,149900,66,66,0,Old
1Fam,2Story,6,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,BrkFace,420.0,179900,57,57,0,Old
1Fam,1Story,6,8,1958,2002,Hip,CompShg,MetalSd,MetalSd,,0.0,176500,67,23,1,Old
1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472.0,277000,67,19,1,Old
1Fam,2Story,7,6,1940,1984,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,219500,85,41,1,Old
1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,360.0,167900,48,48,0,Moderate
