MSSubClass,LotFrontage,LotArea,SalePrice,LotArea_m^2,Price_per_m^2,ZoningScore,SubClassScore,LotAreaNorm,PDI,Price_per_m^2_norm,EVI,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn
20,70.0,11200,129500,1040.5136,124.45776777929667,0.8350439463269663,0.1052631578947368,0.0462735749842249,0.379478598394475,0.1082201013856469,0.3256758661698608,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,85.0,11924,345000,1107.775372,311.4349792567874,0.8350439463269663,0.3157894736842105,0.0496576222861015,0.4436517073218802,0.2930267021640231,0.4601844297169436,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,74.4375,12968,144000,1204.766104,119.52527509024274,0.8350439463269663,0.1052631578947368,0.0545373811026198,0.3819577402299935,0.1033448697998021,0.3232382503769383,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,91.0,10652,279500,989.602756,282.4365618480553,0.8350439463269663,0.1052631578947368,0.0437121690154011,0.3787101766038279,0.2643649261812028,0.4037482785676387,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,76.46236559139786,10920,157000,1014.50076,154.7559215234102,0.8350439463269663,0.1052631578947368,0.0449648274089135,0.3790859741218816,0.1381665251185964,0.3406490780363355,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
45,51.0,6120,132000,568.56636,232.1628736529541,0.3712831948941708,0.2368421052631578,0.0225291546892893,0.2263246559434024,0.2146748631488576,0.2660908110953116,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,76.46236559139786,11241,149000,1044.322623,142.67621587280314,0.8350439463269663,0.1052631578947368,0.0464652130220383,0.3795360898058191,0.126227052270266,0.3346793416121703,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
90,72.0,10791,90000,1002.516273,89.77410384639214,0.8350439463269663,0.4736842105263157,0.0443618687045736,0.4894314023000534,0.0739390786699386,0.3822195653383224,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,66.0,13695,159000,1272.306585,124.9698790170138,0.8350439463269663,0.1052631578947368,0.0579354506999462,0.3829771611091915,0.1087262675452289,0.3259289492496517,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
20,70.0,7560,139000,702.34668,197.90796191988835,0.8350439463269663,0.1052631578947368,0.0292598565051765,0.3743744828507606,0.180817615266469,0.3619746231102718,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,101.0,14215,325300,1320.616145,246.3244154871361,0.8350439463269663,0.3157894736842105,0.0603659819112388,0.4468642152094214,0.2286720042307858,0.4280070807503249,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
45,57.0,7449,139400,692.034447,201.4350594891702,0.3712831948941708,0.2368421052631578,0.0287410315735352,0.2281882190086762,0.1843037669062432,0.2509052629740044,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,75.0,9742,230000,905.061026,254.126510138776,0.8350439463269663,0.1052631578947368,0.039458739395639,0.3774341477178993,0.2363835246889583,0.3897575778215164,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
120,44.0,4224,129900,392.422272,331.020967127982,0.3712831948941708,0.631578947368421,0.0136670639650377,0.3420870813577059,0.3123853171137263,0.3938934064987986,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,74.4375,8246,154000,766.078138,201.02388041257484,0.8350439463269663,0.1052631578947368,0.0324662880646895,0.3753364123186145,0.1838973611905074,0.363514496072291,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,110.0,14230,256300,1322.00969,193.87149877849987,0.8350439463269663,0.1052631578947368,0.0604360933884876,0.3837273539157539,0.1768280112584051,0.3599798211062399,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,60.0,7200,134800,668.9016,201.52440956935968,0.8350439463269663,0.1052631578947368,0.0275771810512047,0.373869680214569,0.1843920797250547,0.3637618553395647,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,98.0,11478,306000,1066.340634,286.96271176701686,0.8350439463269663,0.1052631578947368,0.0475729743625698,0.3798684182079785,0.2688385322133331,0.4059850815837038,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,47.0,16321,207500,1516.269863,136.84899044913615,0.8350439463269663,0.1052631578947368,0.070209633316974,0.3866594158942998,0.1204674748650437,0.3317995529095591,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
30,60.0,6324,68500,587.518572,116.59205898260524,0.3712831948941708,0.1578947368421052,0.0234826707798733,0.2029265002442619,0.1004457052763964,0.1931867584748705,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
70,50.0,8500,40000,789.6754999999999,50.65371788791725,0.0,0.3684210526315789,0.0336535090794363,0.1206223685133045,0.035272839650783,0.0913206303517072,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20,74.4375,8544,149350,793.763232,188.15434373760465,0.8350439463269663,0.1052631578947368,0.0338591694126995,0.3757542767230175,0.1711772264334426,0.3571544286937586,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,85.0,11049,179900,1026.485247,175.25824216741032,0.8350439463269663,0.1052631578947368,0.0455677861132534,0.3792668617331836,0.1584308351719214,0.350781233062998,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,70.0,10552,165500,980.312456,168.82372450442475,0.8350439463269663,0.1052631578947368,0.0432447591670756,0.3785699536493302,0.1520710155578186,0.3476013232559466,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
120,60.0,7313,277500,679.399639,408.4488481749105,0.8350439463269663,0.631578947368421,0.0281053541798125,0.5319228689952566,0.3889143410984376,0.5712861439209929,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,108.0,13418,309000,1246.572454,247.87969524633823,0.8350439463269663,0.3157894736842105,0.0566407254200846,0.4457466382620751,0.230209228811719,0.4287756930407915,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,112.0,10859,145000,1008.833677,143.7303326661249,0.8350439463269663,0.1052631578947368,0.0446797074014349,0.3790004381196381,0.12726893186542,0.3352002814097473,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,74.0,8532,153000,792.648396,193.02379311192092,0.8350439463269663,0.1052631578947368,0.0338030802309004,0.3757374499684777,0.1759901465717779,0.3595608887629262,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,68.0,7922,109000,735.977566,148.10234039117435,0.8350439463269663,0.1052631578947368,0.0309518801561148,0.374882089946042,0.1315901851339792,0.3373609080440269,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
90,65.0,6040,82000,561.13412,146.13262155578775,0.8350439463269663,0.4736842105263157,0.0221552268106288,0.48276940973187,0.1296433326829212,0.4100716923448137,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,84.0,8658,160000,804.354174,198.9173490632001,0.8350439463269663,0.1052631578947368,0.0343920166397906,0.3759141308911448,0.1818152844762663,0.3624734577151705,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,115.0,16905,170000,1570.525215,108.24404369719082,0.8350439463269663,0.1052631578947368,0.0729393068311949,0.3874783179485661,0.0921946017544621,0.3176631163542683,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
85,71.5,9180,144000,852.84954,168.8457262930575,0.8350439463269663,0.4473684210526316,0.0368318960480497,0.479277673660991,0.152092761928599,0.4160332490729157,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,71.68253968253968,9200,130250,854.7076,152.3912973278815,0.8350439463269663,0.1052631578947368,0.0369253780177148,0.376674139304522,0.1358293517473561,0.3394804913507153,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,70.0,7945,141000,738.114335,191.02731557164515,0.8350439463269663,0.1052631578947368,0.0310593844212297,0.3749143412255765,0.1740168460565268,0.3585742385053007,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
120,61.0,7658,319900,711.451174,449.6443490301978,0.8350439463269663,0.631578947368421,0.0297179181565355,0.5324066381882735,0.4296316050915679,0.591644775917558,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
50,48.0,12822,239686,1191.202266,201.2135191824761,0.8350439463269663,0.2631578947368421,0.0538549627240645,0.4291214357690585,0.1840847984517881,0.3951871620713524,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,84.0,11096,249700,1030.851688,242.2268915176865,1.0,0.1052631578947368,0.0457874687419663,0.445315187991011,0.2246220482472831,0.4333636557025889,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
190,33.0,4456,113000,413.975768,272.9628368006313,0.3712831948941708,1.0,0.0147514548131529,0.4529387144016142,0.2550011812152331,0.4388855490758678,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,66.0,7742,127000,719.255026,176.57158505556274,0.8350439463269663,0.1052631578947368,0.0301105424291289,0.3746296886279463,0.1597289315169144,0.3514302812354944,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,79.87755102040816,13869,177000,1288.471707,137.37205018813813,0.8350439463269663,0.3157894736842105,0.0587487438360326,0.4463790437868595,0.1209844624252129,0.3741633098475384,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
50,52.0,6240,114500,579.7147199999999,197.51094124365173,0.3712831948941708,0.2631578947368421,0.0230900465072799,0.2343876603309049,0.180425203586809,0.2542291392090242,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
90,110.0,8472,110000,787.074216,139.75810382791144,0.3712831948941708,0.4736842105263157,0.0335226343219051,0.3006753314121346,0.1233428164671677,0.2677932088070983,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
20,68.0,50271,385000,4670.326713,82.43534631706609,0.8350439463269663,0.1052631578947368,0.2288952768234826,0.4342651089462524,0.0666855164726291,0.3049085737133519,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
80,60.0,7134,130000,662.770002,196.14647556121588,0.8350439463269663,0.4210526315789473,0.0272686905513099,0.4685139751698637,0.1790765779299328,0.4242619991788458,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,100.0,10175,180500,945.288025,190.9470925541451,0.8350439463269663,0.1052631578947368,0.0414826240388885,0.3780413131108741,0.1739375543447122,0.3585345926493934,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
160,24.0,2645,172500,245.728435,701.9944598597228,1.0,0.8421052631578947,0.006286662459978,0.6545175776853619,0.6790521939426606,0.8079471496029093,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,89.0,11645,196500,1081.855435,181.6324008207252,0.8350439463269663,0.3157894736842105,0.0483535488092734,0.4432604852788318,0.1647309964815953,0.3960365768757297,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,66.0,13682,438780,1271.098846,345.1973867970925,0.8350439463269663,0.3157894736842105,0.0578746874196639,0.4461168268619489,0.3263971633144139,0.4768696602921389,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,60.0,7200,124900,668.9016,186.72402637398383,0.8350439463269663,0.1052631578947368,0.0275771810512047,0.373869680214569,0.1697635135648192,0.3564475722594469,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,63.0,13072,158000,1214.428016,130.1024004044386,0.8350439463269663,0.1052631578947368,0.0550234873448783,0.3821035721026711,0.113799205704575,0.3284654183293248,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
75,60.0,7200,101000,668.9016,150.99380835686443,0.3712831948941708,0.3947368421052631,0.0275771810512047,0.2752074849046086,0.1344480861678872,0.2575563699732475,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
120,44.0,6442,202500,598.481126,338.356534905998,0.8350439463269663,0.631578947368421,0.0240342144008974,0.5307015270615821,0.3196357265894165,0.5366468366664824,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
70,50.0,10300,140000,956.9009,146.30564147238235,0.3712831948941708,0.3684210526315789,0.0420668863492953,0.2716596596519306,0.1298143440184746,0.2499763410038043,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
60,71.68253968253968,9375,219500,870.965625,252.01913106501763,0.8350439463269663,0.3157894736842105,0.0377433452522844,0.440077424211735,0.2343006100915307,0.4308213836806973,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,76.0,9591,317000,891.032673,355.76697645968363,0.8350439463269663,0.3157894736842105,0.0387529505246675,0.44038030579345,0.3368440510486493,0.4820931041592566,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,76.46236559139786,19900,180000,1848.7697,97.36204568908718,0.8350439463269663,0.1052631578947368,0.0869382317885437,0.3916779954357707,0.0814389324102501,0.3122852816821623,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
20,72.0,10665,226000,990.810495,228.0960901610151,0.8350439463269663,0.1052631578947368,0.0437729322956834,0.3787284055879126,0.2106552907779361,0.3768934608660054,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
30,47.0,4608,80000,428.097024,186.8735251941392,0.3712831948941708,0.1578947368421052,0.0154619177826076,0.2005202743450821,0.1699112768593671,0.2279195442663558,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
50,81.0,15593,225000,1448.636479,155.31846896145987,0.8350439463269663,0.2631578947368421,0.0668068896211643,0.4330070138381884,0.1387225419667515,0.3725060338288341,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,95.0,13651,244000,1268.218853,192.3958151409061,0.8350439463269663,0.1052631578947368,0.057729790366683,0.3829154630092125,0.1753694587710032,0.3592505448625389,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,69.0,7599,129500,705.969897,183.4355835146892,0.8350439463269663,0.1052631578947368,0.0294421463460235,0.3744291698030146,0.1665132461023946,0.3548224385282346,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,74.0,10141,185000,942.129323,196.36370027302505,0.8350439463269663,0.3157894736842105,0.0413237046904578,0.4411515320431871,0.1792912808890651,0.4033167190794645,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,85.0,10200,144900,947.6106,152.9109108741502,0.8350439463269663,0.1052631578947368,0.0415994765009698,0.3780763688494986,0.1363429331215006,0.3397372820377876,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
50,60.0,5790,107400,537.90837,199.6622584623474,0.3712831948941708,0.2631578947368421,0.0209867021898151,0.2337566570356655,0.1825515462530703,0.2552923105421548,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
180,21.0,1596,91000,148.273188,613.7319985323307,0.3712831948941708,0.9473684210526316,0.0013835331510434,0.4331388642187708,0.5918143678709423,0.5967658266142487,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,76.46236559139786,8475,135750,787.352925,172.41315258973603,0.8350439463269663,0.1052631578947368,0.0335366566173549,0.375657522884414,0.1556187741212448,0.3493752025376597,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
50,50.0,8635,127000,802.217405,158.31119994211545,0.3712831948941708,0.2631578947368421,0.0342845123746757,0.2377460000911236,0.1416805304574809,0.2348568026443601,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
90,72.0,10778,136500,1001.308534,136.32161852722209,0.8350439463269663,0.4736842105263157,0.0443011054242912,0.4894131733159687,0.1199462251819152,0.4052231385943107,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
50,60.0,10440,110000,969.90732,113.41289804885687,0.3712831948941708,0.2631578947368421,0.042721260136951,0.2402770244198062,0.0973034510901734,0.2126682629607063,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,100.0,13000,193500,1207.739,160.21673556952288,0.8350439463269663,0.3157894736842105,0.0546869522540839,0.4451605063122749,0.1435639448007612,0.3854530510353126,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
120,32.0,4500,153500,418.0635,367.16910230144464,0.3712831948941708,0.631578947368421,0.0149571151464161,0.3424740967121195,0.3481138100840535,0.4117576529839622,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,78.0,10206,245000,948.168018,258.3930224906616,0.8350439463269663,0.1052631578947368,0.0416275210918694,0.3780847822267684,0.2406005072757686,0.3918660691149216,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,80.0,8892,126500,826.093476,153.1303704424849,0.8350439463269663,0.1052631578947368,0.0354857556848722,0.3762422526046692,0.1365598449928016,0.3398457379734381,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
80,79.87755102040816,8530,168500,792.46259,212.62833366052016,0.8350439463269663,0.4210526315789473,0.0337937320339339,0.4704714876146509,0.1953670988216227,0.4324072596246907,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,121.0,16059,260000,1491.929277,174.27099528659494,0.8350439463269663,0.3157894736842105,0.0689850195143611,0.4494499264903581,0.1574550491992308,0.3923986032345474,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,122.0,11911,174000,1106.567633,157.24298706286126,0.8350439463269663,0.3157894736842105,0.0495968590058192,0.4436334783377955,0.1406247184172719,0.3839834378435679,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
160,40.0,3951,164500,367.059753,448.1559164564686,1.0,0.8421052631578947,0.0123910350791091,0.6563488894711011,0.4281604516699018,0.6825012784665297,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
50,105.0,8470,85000,786.88841,108.0203989788082,0.0,0.2631578947368421,0.0335132861249386,0.0890013542585342,0.0919735533183467,0.0986183556065417,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20,60.0,8070,123600,749.72721,164.85996286569352,0.8350439463269663,0.1052631578947368,0.0316436467316366,0.3750896199186986,0.1481532690636806,0.3456424500088776,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
20,60.0,7200,109900,668.9016,164.29920335068715,0.8350439463269663,0.1052631578947368,0.0275771810512047,0.373869680214569,0.1475990193826443,0.3453653251683594,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
