WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Cluster,Silhouette
0,0,0,0,0,0,,,,0,7,2006,WD,Normal,5,5
0,122,0,0,0,0,,MnPrv,,0,1,2010,COD,Normal,8,8
0,0,0,0,0,0,,,,0,7,2008,COD,Abnorml,5,5
168,68,0,0,0,0,,,,0,2,2010,WD,Normal,6,6
120,0,158,0,0,0,,,,0,6,2007,WD,Normal,6,6
439,0,0,0,0,0,,,,0,3,2007,WD,Normal,9,0
95,75,0,0,0,0,,,,0,6,2006,WD,Normal,6,1
227,0,0,0,0,0,,,,0,4,2010,WD,Normal,0,6
289,0,0,0,0,0,,MnPrv,,0,6,2007,WD,Normal,0,0
182,81,0,0,0,0,,,,0,9,2006,WD,Normal,2,2
0,0,0,0,0,0,,,,0,5,2009,WD,Normal,5,5
40,156,0,0,0,0,,MnPrv,,0,11,2009,WD,Normal,8,8
159,214,0,0,0,0,,,,0,12,2007,WD,Normal,4,4
0,0,0,0,128,0,,GdPrv,,0,6,2006,WD,Normal,5,5
0,0,112,0,0,0,,,,0,7,2008,WD,Normal,5,5
0,0,0,0,0,0,,GdPrv,,0,11,2009,WD,Normal,5,5
0,205,0,0,0,0,,,,0,2,2007,WD,Normal,4,4
0,108,0,0,260,0,,,,0,7,2007,New,Partial,8,8
0,0,0,0,160,0,,,,0,1,2009,WD,Normal,5,5
126,66,0,0,0,0,,,,0,11,2008,New,Partial,6,6
0,0,0,0,120,0,,,,0,11,2007,WD,Normal,5,5
0,0,0,0,0,0,,,,0,6,2009,WD,Normal,5,5
0,26,0,0,0,0,,,,0,8,2007,WD,Normal,5,5
237,0,0,0,0,0,,,,0,5,2007,WD,Normal,0,0
100,24,0,0,0,0,,,,0,7,2008,WD,Normal,6,6
517,76,0,0,0,0,,,,0,7,2009,WD,Normal,7,7
0,192,0,0,0,0,,,,0,11,2008,WD,Abnorml,4,4
0,0,0,0,0,0,,MnPrv,,0,7,2008,WD,Normal,5,5
0,80,120,0,0,0,,,,0,7,2009,WD,Normal,1,1
0,0,0,0,0,0,,,,0,4,2010,ConLI,Normal,5,5
140,60,0,0,0,0,,,,0,6,2010,WD,Normal,6,6
0,0,0,0,0,0,,,,0,6,2007,WD,Normal,5,5
38,243,0,0,0,0,,,,0,6,2008,WD,Normal,4,4
172,62,0,0,0,0,,,,0,7,2009,WD,Normal,6,6
240,39,0,0,0,0,,,,0,6,2010,WD,Normal,0,0
0,35,0,144,0,0,,,,0,5,2010,WD,Normal,1,1
164,0,0,0,0,0,,,,0,12,2009,WD,Normal,6,6
0,26,0,0,170,0,,,,0,1,2009,WD,Normal,5,5
0,0,0,0,0,0,,,,0,6,2008,WD,Normal,5,5
192,267,0,0,0,0,,,,0,1,2006,New,Partial,4,4
0,0,0,0,0,0,,,,0,6,2006,WD,Normal,5,5
0,102,0,0,0,0,,,,0,7,2009,WD,Normal,8,8
0,114,192,0,0,0,,GdPrv,,0,7,2006,WD,Normal,8,8
0,0,0,0,0,0,,,,0,2,2008,WD,Normal,5,5
144,48,0,0,0,0,,,,0,5,2010,WD,Normal,6,6
0,30,0,0,216,0,,,,0,4,2006,WD,Normal,1,1
172,62,0,0,0,0,,,,0,4,2009,ConLw,Normal,6,6
224,0,0,0,0,0,,,,0,6,2007,WD,Normal,0,6
72,192,224,0,0,0,,GdPrv,,0,11,2007,WD,Normal,4,4
0,184,0,0,0,0,,,,0,3,2008,WD,Normal,8,8
192,35,0,0,0,0,,,,0,6,2010,New,Partial,0,6
100,0,0,0,0,0,,,,0,12,2007,WD,Normal,6,6
0,113,0,0,0,0,,,,0,10,2009,WD,Normal,8,8
182,182,0,0,0,0,,,,0,11,2009,WD,Normal,2,2
0,0,236,0,0,0,,GdWo,,0,12,2009,WD,Normal,5,5
0,80,0,180,0,0,,MnWw,,0,7,2006,WD,Abnorml,1,1
0,0,0,0,0,0,,,,0,1,2007,WD,Normal,5,5
0,0,0,0,0,0,,,,0,8,2007,WD,Normal,5,5
142,98,0,0,0,0,,,,0,7,2006,WD,Normal,2,2
0,0,0,0,0,0,,,,0,5,2008,WD,Normal,5,5
0,46,0,0,0,0,,GdPrv,Shed,800,8,2009,ConLI,Normal,1,1
144,78,0,0,0,0,,,,0,7,2009,New,Partial,2,2
98,0,0,0,0,0,,MnPrv,,0,5,2008,WD,Normal,6,6
0,28,0,0,0,0,,,,0,5,2006,WD,Normal,1,1
169,45,0,0,0,0,,,,0,6,2010,Con,Normal,6,6
0,191,0,0,0,0,,,,0,3,2007,WD,Normal,4,4
158,61,0,0,0,0,,,,0,4,2009,ConLw,Normal,6,6
176,0,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,0,6
635,104,0,0,0,0,,GdPrv,Shed,400,5,2010,WD,Normal,7,7
280,34,0,0,0,0,,,,0,12,2008,WD,Normal,0,0
315,44,0,0,0,0,,,,0,7,2006,WD,Normal,9,0
0,136,0,0,0,0,,GdWo,,0,5,2010,WD,Normal,8,8
0,0,0,0,0,0,,,,0,7,2008,WD,Normal,5,5
180,0,0,0,80,0,,,,0,7,2008,WD,Normal,0,6
0,0,0,0,0,0,,,,0,6,2008,WD,Normal,5,5
0,100,0,0,0,0,,GdPrv,,0,6,2008,WD,Normal,8,8
136,63,0,0,0,0,,,,0,8,2009,WD,Normal,6,6
120,0,0,0,0,0,,,,0,11,2009,WD,Normal,6,6
0,30,226,0,0,0,,,,0,6,2009,WD,Normal,1,1
264,98,0,0,0,0,,,,0,1,2007,New,Partial,2,2
144,39,0,0,0,0,,,,0,6,2008,WD,Normal,6,6
253,142,0,0,0,0,,,,0,5,2009,WD,Normal,2,2
0,211,0,0,0,0,,,,0,3,2008,WD,Normal,4,4
0,0,126,0,0,0,,GdPrv,,0,7,2007,WD,Normal,5,5
0,0,120,0,0,0,,,,0,7,2006,WD,Normal,5,5
0,0,34,0,0,0,,MnPrv,,0,3,2007,WD,Normal,5,5
40,0,0,0,0,0,,,,0,7,2006,WD,Normal,5,5
158,29,0,0,0,0,,,,0,8,2006,WD,Normal,6,6
0,0,0,0,95,0,,,,0,5,2010,WD,Normal,5,5
171,78,0,0,0,555,Ex,MnPrv,,0,7,2007,WD,Abnorml,2,2
0,0,0,0,276,0,,,,0,11,2007,WD,Normal,5,5
156,0,0,0,0,0,,,,0,5,2009,WD,Normal,6,6
0,0,0,0,0,0,,,,0,6,2009,COD,Abnorml,5,5
288,136,0,0,0,0,,,,0,5,2009,WD,Normal,2,2
0,32,0,0,0,0,,,,0,5,2007,WD,Normal,1,1
0,0,0,0,0,0,,,,0,6,2006,WD,Normal,5,5
0,0,0,0,0,0,,MnPrv,,0,4,2008,WD,Normal,5,5
0,0,0,0,0,0,,,,0,6,2008,WD,Normal,5,5
89,0,0,0,0,0,,,,0,7,2006,WD,Normal,6,6
84,70,0,0,0,0,,,,0,6,2009,WD,Normal,1,1
0,0,0,0,0,0,,,,0,4,2010,WD,Normal,5,5
0,0,108,0,0,0,,,,0,8,2008,WD,Normal,5,5
0,130,112,0,0,0,,MnPrv,,0,4,2008,WD,Normal,8,8
364,63,0,0,0,0,,MnPrv,,0,11,2008,WD,Normal,9,0
0,0,0,0,0,0,,,,0,8,2009,WD,Normal,5,5
272,0,42,0,116,0,,,,0,3,2010,WD,Normal,0,0
120,0,0,0,0,0,,MnPrv,,0,5,2010,WD,Abnorml,6,6
0,30,0,0,0,0,,,,0,12,2007,New,Partial,1,1
208,59,0,0,0,0,,,,0,4,2006,WD,Normal,0,6
0,0,0,0,0,0,,,,0,6,2007,WD,Normal,5,5
240,38,0,0,0,0,,,,0,4,2006,WD,Normal,0,0
158,0,0,0,0,0,,,,0,3,2009,WD,Normal,6,6
256,0,0,0,0,0,,MnPrv,,0,4,2009,WD,Normal,0,0
125,144,0,0,0,0,,,,0,4,2007,New,Partial,2,2
237,152,0,0,0,0,,,,0,3,2010,WD,Normal,2,2
0,21,0,0,180,0,,,,0,7,2007,WD,Normal,5,5
74,234,0,0,0,0,,,,0,10,2009,WD,Normal,4,4
270,78,0,0,0,0,,,,0,5,2006,WD,Normal,2,2
113,100,0,0,0,0,,,,0,8,2007,WD,Normal,2,2
0,103,0,0,0,0,,,,0,6,2009,WD,Normal,8,8
0,45,0,0,0,0,,,,0,1,2010,WD,Normal,1,1
48,0,0,0,0,0,,,,0,3,2008,ConLw,Normal,5,5
0,0,0,0,0,0,,,,0,7,2008,WD,Normal,5,5
192,0,0,0,0,0,,,,0,1,2009,WD,Normal,0,6
0,60,0,0,0,0,,,,0,7,2009,New,Partial,1,1
0,0,0,0,0,0,,,,0,6,2006,WD,Normal,5,5
0,0,0,0,0,0,,MnPrv,,0,3,2009,WD,Normal,5,5
0,0,0,0,0,0,,,,0,10,2008,WD,Normal,5,5
110,0,0,0,0,0,,,,0,10,2009,WD,Normal,6,6
0,45,0,0,0,0,,,,0,4,2006,WD,Normal,1,1
349,0,0,0,0,0,,MnPrv,,0,2,2010,WD,Normal,9,0
70,78,68,0,0,0,,,,0,6,2008,WD,Normal,1,1
144,20,0,0,0,0,,,,0,7,2006,New,Partial,6,6
0,0,0,0,0,0,,GdWo,,0,7,2009,WD,Normal,5,5
132,105,0,0,0,0,,,,0,5,2010,WD,Normal,2,2
0,0,156,0,0,0,,MnPrv,,0,10,2009,ConLD,Abnorml,5,5
272,54,0,0,0,0,,,,0,6,2006,WD,Family,0,0
169,39,0,0,0,0,,,,0,7,2009,WD,Normal,6,6
0,0,293,0,0,0,,MnPrv,,0,6,2006,WD,Abnorml,5,5
210,0,0,0,0,0,,,,0,7,2009,WD,Normal,0,6
188,124,0,0,0,0,,,,0,11,2006,WD,Normal,2,2
0,0,0,0,0,0,,,,0,6,2007,WD,Normal,5,5
0,51,0,0,0,0,,,,0,7,2006,New,Partial,1,1
36,0,221,0,0,0,,,,0,10,2006,WD,Normal,5,5
0,0,0,0,0,0,,,,0,11,2008,WD,Normal,5,5
0,27,0,0,0,0,,,,0,10,2008,WD,Normal,1,5
100,24,0,0,0,0,,,,0,9,2006,New,Partial,6,6
0,141,0,0,0,0,,,,0,4,2008,WD,Normal,8,8
0,113,252,0,0,0,,,,0,11,2007,WD,Normal,8,8
0,69,0,0,0,0,,,,0,9,2008,WD,Normal,1,1
192,63,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,6,6
210,0,0,0,0,0,,,,0,11,2008,WD,Normal,0,6
192,30,0,0,0,0,,,,0,7,2008,WD,Normal,0,6
160,0,0,0,0,0,,,,0,5,2010,WD,Normal,6,6
177,74,0,0,0,0,,,,0,10,2006,New,Partial,2,2
322,82,0,0,0,0,,,,0,7,2009,New,Partial,9,0
0,184,0,0,0,0,,,,0,6,2008,WD,Normal,8,8
0,60,268,0,0,0,,,,0,7,2009,WD,Normal,1,1
340,60,144,0,0,0,,,,0,4,2009,WD,Normal,9,0
0,158,158,0,0,0,,MnPrv,,0,4,2010,WD,Normal,8,8
164,0,0,0,0,0,,MnPrv,,0,6,2006,WD,Normal,6,6
140,0,0,0,176,0,,,,0,9,2008,WD,Normal,6,6
210,62,0,0,0,0,,,,0,5,2010,WD,Normal,0,6
0,0,252,0,0,0,,GdWo,,0,5,2009,WD,Normal,5,5
0,0,0,0,0,0,,,,0,10,2007,WD,Normal,5,5
0,0,0,0,0,0,,MnPrv,,0,6,2010,WD,Normal,5,5
222,98,0,0,0,0,,,,0,11,2007,WD,Normal,2,2
224,106,0,0,0,0,,GdPrv,,0,12,2008,WD,Normal,2,2
322,50,0,0,0,0,,,,0,5,2006,New,Partial,9,0
97,65,0,0,0,0,,,,0,1,2008,CWD,Abnorml,6,1
168,0,0,0,0,0,,GdPrv,,0,5,2008,WD,Normal,6,6
276,99,0,0,0,0,,MnPrv,,0,8,2009,WD,Normal,2,2
294,116,0,0,0,0,,,,0,12,2009,WD,Normal,2,2
0,0,220,0,0,0,,MnPrv,,0,6,2010,WD,Normal,5,5
248,105,0,0,0,0,,,,0,6,2009,WD,Normal,2,2
166,120,0,0,0,0,,MnPrv,,0,7,2006,WD,Normal,2,2
0,102,0,0,0,0,,,,0,4,2008,New,Partial,8,8
0,0,244,0,0,0,,,,0,12,2007,WD,Normal,5,5
0,36,0,0,0,0,,GdPrv,,0,8,2009,WD,Family,1,1
0,120,0,0,0,0,,MnPrv,,0,1,2010,WD,Family,8,8
0,0,0,0,0,0,,,Othr,3500,7,2010,WD,Normal,5,5
203,40,0,0,0,0,,,,0,7,2006,WD,Normal,0,6
0,98,0,0,0,0,,GdPrv,,0,9,2006,WD,Normal,8,8
144,60,0,0,0,0,,,,0,8,2006,New,Partial,6,6
0,166,0,0,0,0,,,,0,7,2006,WD,Normal,8,8
0,54,0,0,161,0,,GdWo,,0,3,2010,WD,Normal,1,1
0,211,0,0,0,0,,,,0,11,2008,WD,Normal,4,4
0,35,272,0,0,0,,,,0,2,2006,WD,Abnorml,1,1
668,30,0,0,0,0,,,,0,5,2010,WD,Normal,7,7
168,0,0,0,0,0,,,,0,6,2007,WD,Normal,6,6
184,154,0,0,0,0,,,,0,6,2007,WD,Normal,2,2
40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal,1,1
120,33,0,0,0,0,,,,0,12,2007,WD,Normal,6,6
0,64,0,0,0,0,,MnPrv,,0,10,2006,WD,Normal,1,1
0,0,0,0,0,0,,MnPrv,,0,8,2009,WD,Normal,5,5
0,0,0,0,0,0,,,,0,6,2008,WD,AdjLand,5,5
78,73,0,0,0,0,,,,0,6,2009,WD,Normal,1,1
0,0,77,0,0,0,,,,0,4,2006,WD,Normal,5,5
0,111,0,0,0,0,,,,0,7,2007,WD,Normal,8,8
0,44,0,0,0,0,,,,0,3,2010,WD,Normal,1,1
0,116,0,0,0,0,,,,0,6,2006,WD,Normal,8,8
0,0,0,0,224,0,,,,0,11,2009,WD,Normal,5,5
192,121,0,0,0,0,,,,0,5,2008,WD,Normal,2,2
144,45,0,0,0,0,,,,0,12,2007,WD,Normal,6,6
0,0,192,0,0,0,,,,0,7,2006,WD,Normal,5,5
168,27,0,0,0,0,,,,0,7,2006,WD,Normal,6,6
283,86,0,0,0,0,,,,0,3,2010,WD,Normal,2,2
0,0,0,0,0,0,,,,0,7,2006,WD,Normal,5,5
0,0,234,0,0,0,,,,0,8,2006,WD,Normal,5,5
0,0,0,0,0,0,,,,0,6,2008,WD,Normal,5,5
233,48,0,0,0,0,,,,0,6,2009,WD,Normal,0,6
245,0,156,0,0,0,,,Shed,1300,7,2008,WD,Normal,0,0
144,105,0,0,0,0,,,,0,4,2009,WD,Normal,2,2
0,44,0,0,0,0,,,,0,5,2008,WD,Normal,1,1
0,96,0,0,0,0,,MnPrv,,0,5,2009,WD,Normal,8,8
186,0,0,0,0,0,,,,0,1,2009,WD,Normal,0,6
305,189,0,0,0,0,,MnPrv,Shed,400,9,2008,WD,Normal,2,2
0,0,236,0,0,0,,,,0,3,2006,WD,Normal,5,5
0,158,0,0,0,0,,,,0,10,2006,WD,Normal,8,8
0,0,0,0,0,0,,,,0,9,2008,WD,Normal,5,5
0,244,0,0,0,0,,,,0,5,2007,WD,Normal,4,4
0,0,0,0,0,0,,,,0,4,2006,COD,Normal,5,5
192,36,0,0,0,0,,,,0,8,2009,WD,Normal,0,6
0,126,0,0,0,0,,,,0,5,2009,WD,Normal,8,8
301,0,0,0,0,0,,,,0,7,2010,WD,Normal,0,0
105,61,0,0,0,0,,,,0,2,2010,WD,Normal,6,6
0,0,0,0,0,0,,,,0,11,2008,WD,Normal,5,5
321,0,0,0,0,0,,,,0,8,2007,Oth,Abnorml,9,0
100,22,0,0,0,0,,,,0,3,2010,WD,Normal,6,6
0,0,176,0,0,0,,,,0,8,2008,WD,Normal,5,5
0,204,0,0,0,0,,,,0,7,2008,WD,Normal,4,4
120,155,0,0,0,0,,,,0,7,2008,WD,Normal,2,2
0,26,0,0,0,0,,,,0,6,2010,WD,Normal,5,5
356,0,0,0,0,0,,GdWo,,0,11,2006,WD,Normal,9,0
127,82,0,0,0,0,,,,0,4,2006,WD,Normal,2,2
0,36,0,0,0,0,,,,0,10,2007,WD,Normal,1,1
509,135,0,0,0,0,,GdPrv,,0,10,2009,WD,Normal,7,7
0,0,0,0,0,0,,,,0,8,2006,WD,Normal,5,5
156,73,0,0,0,0,,,,0,8,2007,WD,Normal,6,2
280,0,0,0,0,0,,,,0,6,2008,WD,Normal,0,0
0,0,112,0,0,0,,,,0,8,2007,WD,Normal,5,5
100,75,0,0,0,0,,,,0,4,2008,WD,Normal,6,1
0,0,0,0,0,0,,,,0,3,2010,WD,Normal,5,5
289,0,0,0,0,0,,MnPrv,,0,4,2009,WD,Normal,0,0
0,0,0,0,0,0,,MnPrv,,0,6,2007,WD,Normal,5,5
0,0,177,0,0,0,,,,0,7,2009,ConLD,Normal,5,5
192,0,0,0,0,0,,,,0,7,2009,WD,Normal,0,6
0,42,0,0,0,0,,,,0,9,2008,WD,Normal,1,1
255,57,0,0,0,0,,,,0,8,2007,WD,Normal,0,0
0,0,0,0,0,0,,,,0,5,2009,WD,Normal,5,5
304,0,0,0,0,0,,,,0,11,2006,WD,Normal,9,0
0,45,0,0,189,0,,,,0,9,2008,WD,Normal,1,1
0,88,216,0,0,0,,,,0,11,2007,WD,Normal,1,1
0,0,0,0,0,0,,MnPrv,,0,5,2006,WD,Normal,5,5
140,0,252,0,0,0,,GdWo,,0,7,2006,WD,Normal,6,6
0,50,0,0,0,0,,,,0,5,2010,WD,Normal,1,1
0,0,0,0,189,0,,MnPrv,,0,5,2008,COD,Abnorml,5,5
0,140,0,0,0,0,,,,0,6,2006,New,Partial,8,8
143,20,0,0,0,0,,,,0,5,2009,WD,Normal,6,6
356,0,0,0,0,0,,,,0,6,2009,WD,Normal,9,0
0,72,0,0,0,0,,,,0,3,2009,WD,Normal,1,1
148,0,0,0,147,0,,,,0,11,2006,WD,Normal,6,6
0,312,0,0,0,0,,,,0,5,2009,WD,Normal,4,4
216,56,0,0,0,0,,,,0,5,2008,WD,Normal,0,6
0,56,0,0,0,0,,,,0,7,2009,WD,Normal,1,1
178,51,0,0,0,0,,,,0,7,2007,WD,Normal,6,6
208,114,0,0,0,0,,,,0,7,2009,New,Partial,2,2
0,146,0,0,0,0,,,,0,7,2007,WD,Normal,8,8
0,0,0,0,0,0,,,Shed,450,8,2007,WD,Normal,5,5
0,0,0,0,0,0,,,,0,4,2006,New,Partial,5,5
0,0,0,407,0,0,,,,0,7,2008,WD,Normal,5,5
0,98,0,0,40,0,,,,0,5,2009,WD,Normal,8,8
224,0,0,0,0,0,,,,0,7,2006,WD,Normal,0,6
0,130,0,130,0,0,,,,0,10,2006,WD,Normal,8,8
0,42,0,0,0,0,,MnPrv,,0,11,2006,WD,Normal,1,1
201,39,0,0,0,0,,,,0,10,2009,WD,Normal,0,6
0,94,0,0,291,0,,,,0,12,2009,WD,Normal,8,8
302,0,0,0,100,0,,,,0,10,2009,WD,Normal,0,0
144,68,0,0,0,0,,,,0,7,2009,WD,Normal,6,6
196,82,0,0,0,0,,,,0,2,2010,WD,Normal,2,2
155,24,145,0,0,0,,,Gar2,8300,8,2007,WD,Normal,6,6
208,406,0,0,0,0,,,,0,10,2007,New,Partial,3,3
0,0,116,0,0,0,,,,0,5,2008,WD,Normal,5,5
168,0,0,0,0,0,,,Shed,400,5,2007,WD,Normal,6,6
0,82,0,0,0,0,,,,0,10,2006,WD,Normal,1,1
335,0,0,0,0,0,,GdPrv,,0,4,2010,WD,Abnorml,9,0
0,0,0,0,0,0,,,,0,1,2007,WD,Normal,5,5
0,172,0,0,0,0,,,,0,6,2010,WD,Normal,8,8
144,20,0,0,0,0,,,,0,5,2006,WD,Normal,6,6
0,152,0,0,0,0,,,,0,4,2009,WD,Normal,8,8
0,0,0,0,0,0,,,,0,6,2006,WD,Normal,5,5
55,0,0,216,0,0,,,,0,10,2008,COD,Abnorml,5,5
0,0,0,0,0,0,,MnPrv,,0,8,2007,WD,Normal,5,5
0,50,0,0,0,0,,,,0,5,2006,New,Partial,1,1
0,0,44,0,0,0,,,,0,8,2009,WD,Normal,5,5
0,265,0,0,0,0,,,,0,8,2007,WD,Abnorml,4,4
132,0,0,0,0,0,,,,0,2,2009,WD,Normal,6,6
0,0,0,0,0,0,,,,0,5,2008,WD,Normal,5,5
0,84,0,196,0,0,,,,0,1,2007,WD,Normal,1,1
208,75,0,0,374,0,,,,0,6,2006,WD,Normal,2,2
0,0,0,0,145,0,,MnPrv,,0,6,2009,WD,Normal,5,5
0,40,0,0,0,0,,,,0,8,2007,WD,Normal,1,1
0,69,0,0,0,0,,,,0,7,2008,WD,Normal,1,1
116,0,0,180,0,0,,MnPrv,,0,6,2007,WD,Normal,6,6
168,95,0,0,0,0,,,,0,4,2010,New,Partial,2,2
182,0,0,0,0,0,,,,0,10,2006,WD,Normal,0,6
240,0,0,0,0,0,,MnPrv,,0,12,2007,WD,Normal,0,0
0,27,0,0,0,0,,,,0,6,2010,WD,Normal,1,5
0,35,0,0,0,0,,MnWw,,0,4,2009,WD,Normal,1,1
0,0,0,0,0,0,,,,0,5,2008,WD,Normal,5,5
106,0,0,0,0,0,,,,0,5,2010,WD,Normal,6,6
0,0,0,0,0,0,,,,0,2,2006,WD,Normal,5,5
48,0,244,0,0,0,,MnWw,,0,9,2009,WD,Normal,5,5
0,0,0,0,126,0,,MnPrv,,0,8,2007,WD,Normal,5,5
165,44,0,0,0,0,,,,0,9,2009,COD,Abnorml,6,6
100,36,0,0,0,0,,,,0,12,2007,New,Partial,6,6
280,238,0,0,0,0,,,,0,6,2008,WD,Normal,4,4
0,0,0,0,0,0,,,,0,7,2006,WD,Family,5,5
104,100,0,0,0,0,,,,0,5,2007,WD,Normal,2,2
